Ref,Val,Package,PosX,PosY,Rot,Side
K_#0_1,MX-NoLED,MXOnly-1U-Hotswap,324.64375,-181.76875,0,bottom
K_#1,MX-NoLED,MXOnly-1U-Hotswap,153.19375,-181.76875,180,bottom
K_#2,MX-NoLED,MXOnly-1U-Hotswap,172.24375,-181.76875,0,bottom
K_#3,MX-NoLED,MXOnly-1U-Hotswap,191.29375,-181.76875,0,bottom
K_#4,MX-NoLED,MXOnly-1U-Hotswap,210.34375,-181.76875,0,bottom
K_#5,MX-NoLED,MXOnly-1U-Hotswap,229.39375,-181.76875,0,bottom
K_#6,MX-NoLED,MXOnly-1U-Hotswap,248.44375,-181.76875,0,bottom
K_#7,MX-NoLED,MXOnly-1U-Hotswap,267.49375,-181.76875,0,bottom
K_#8,MX-NoLED,MXOnly-1U-Hotswap,286.54375,-181.76875,0,bottom
K_#9,MX-NoLED,MXOnly-1U-Hotswap,305.59375,-181.76875,0,bottom
K_'1,MX-NoLED,MXOnly-1U-Hotswap,357.98125,-219.86875,0,bottom
"K_,1",MX-NoLED,MXOnly-1U-Hotswap,310.35625,-238.91875,0,bottom
K_-1,MX-NoLED,MXOnly-1U-Hotswap,343.69375,-181.76875,0,bottom
K_.1,MX-NoLED,MXOnly-1U-Hotswap,329.40625,-238.91875,0,bottom
K_/1,MX-NoLED,MXOnly-1U-Hotswap,348.45625,-238.91875,0,bottom
K_;1,MX-NoLED,MXOnly-1U-Hotswap,338.93125,-219.86875,0,bottom
K_=1,MX-NoLED,MXOnly-1U-Hotswap,362.74375,-181.76875,0,bottom
K_A1,MX-NoLED,MXOnly-1U-Hotswap,167.48125,-219.86875,0,bottom
K_B1,MX-NoLED,MXOnly-1U-Hotswap,253.20625,-238.91875,0,bottom
K_C1,MX-NoLED,MXOnly-1U-Hotswap,215.10625,-238.91875,0,bottom
K_CAPS1,MX-LED,MXOnly-1.75U-Hotswap,141.2875,-219.86875,0,bottom
K_D1,MX-NoLED,MXOnly-1U-Hotswap,205.58125,-219.86875,0,bottom
K_E1,MX-NoLED,MXOnly-1U-Hotswap,200.81875,-200.81875,0,bottom
K_ESC1,MX-NoLED,MXOnly-1U-Hotswap,134.14375,-181.76875,180,bottom
K_F1,MX-NoLED,MXOnly-1U-Hotswap,224.63125,-219.86875,0,bottom
K_G1,MX-NoLED,MXOnly-1U-Hotswap,243.68125,-219.86875,0,bottom
K_H1,MX-NoLED,MXOnly-1U-Hotswap,262.73125,-219.86875,270,bottom
K_I1,MX-NoLED,MXOnly-1U-Hotswap,296.06875,-200.81875,0,bottom
K_J1,MX-NoLED,MXOnly-1U-Hotswap,281.78125,-219.86875,0,bottom
K_K1,MX-NoLED,MXOnly-1U-Hotswap,300.83125,-219.86875,0,bottom
K_L1,MX-NoLED,MXOnly-1U-Hotswap,319.88125,-219.86875,0,bottom
K_LALT1,MX-NoLED,MXOnly-1U-Hotswap,177.00625,-257.96875,0,bottom
K_LCTRL1,MX-NoLED,MXOnly-1.25U-Hotswap,136.525,-257.96875,0,bottom
K_LGUI1,MX-NoLED,MXOnly-1U-Hotswap,157.95625,-257.96875,0,bottom
K_LSFT1,MX-NoLED,MXOnly-2.25U-Hotswap,146.05,-238.91875,0,bottom
K_M1,MX-NoLED,MXOnly-1U-Hotswap,291.30625,-238.91875,0,bottom
K_N1,MX-NoLED,MXOnly-1U-Hotswap,272.25625,-238.91875,0,bottom
K_NFER1,MX-NoLED,MXOnly-1.25U-Hotswap,198.4375,-257.96875,0,bottom
K_O1,MX-NoLED,MXOnly-1U-Hotswap,315.11875,-200.81875,0,bottom
K_P1,MX-NoLED,MXOnly-1U-Hotswap,334.16875,-200.81875,0,bottom
K_Q1,MX-NoLED,MXOnly-1U-Hotswap,162.71875,-200.81875,0,bottom
K_R1,MX-NoLED,MXOnly-1U-Hotswap,219.86875,-200.81875,0,bottom
K_RALT1,MX-NoLED,MXOnly-1U-Hotswap,357.98125,-257.96875,0,bottom
K_RCTRL1,MX-NoLED,MXOnly-1.25U-Hotswap,398.4625,-257.96875,0,bottom
K_RGUI1,MX-NoLED,MXOnly-1U-Hotswap,377.03125,-257.96875,0,bottom
K_S1,MX-NoLED,MXOnly-1U-Hotswap,186.53125,-219.86875,0,bottom
K_SBSPC1,MX-NoLED,MXOnly-1U-Hotswap,381.79375,-181.76875,0,bottom
K_SBSPC2,MX-NoLED,MXOnly-1U-Hotswap,400.84375,-181.76875,0,bottom
K_SPC2,MX-NoLED,MXOnly-1U-Hotswap,277.01875,-257.96875,180,bottom
K_SRSFT1,MX-NoLED,MXOnly-1U-Hotswap,367.50625,-238.91875,0,bottom
K_SRSFT2,MX-NoLED,MXOnly-1.75U-Hotswap,393.7,-238.91875,0,bottom
K_T1,MX-NoLED,MXOnly-1U-Hotswap,238.91875,-200.81875,0,bottom
K_TAB1,MX-NoLED,MXOnly-1.5U-Hotswap,138.90625,-200.81875,0,bottom
K_U1,MX-NoLED,MXOnly-1U-Hotswap,277.01875,-200.81875,0,bottom
K_V1,MX-NoLED,MXOnly-1U-Hotswap,234.15625,-238.91875,0,bottom
K_W1,MX-NoLED,MXOnly-1U-Hotswap,181.76875,-200.81875,0,bottom
K_X1,MX-NoLED,MXOnly-1U-Hotswap,196.05625,-238.91875,0,bottom
K_XFER1,MX-NoLED,MXOnly-1.25U-Hotswap,336.55,-257.96875,0,bottom
K_Y1,MX-NoLED,MXOnly-1U-Hotswap,257.96875,-200.81875,0,bottom
K_Z1,MX-NoLED,MXOnly-1U-Hotswap,177.00625,-238.91875,0,bottom
K_[1,MX-NoLED,MXOnly-1U-Hotswap,353.21875,-200.81875,0,bottom
K_\1,MX-NoLED,MXOnly-1U-Hotswap,377.03125,-219.86875,0,bottom
K_]1,MX-NoLED,MXOnly-1U-Hotswap,372.26875,-200.81875,0,bottom
